Timestamp,Type of Organization,CIDA Grade,Age,Gender,Designation,Type of Project,Cost,Duration,Cost Effectiveness,Cost Effectivness - Resources,Cost Effectiveness - Budget,Adheres to Deadlines,Subcontracter Delays,Accelerate Work,Required Quality,Client was Satisfied,Satisfied with QAQC,Communicates Clearly and Timely,Resolves Conflict,Engages in Project Discussions,Consistently Provides Resources,Sub has High Quality Resources,Flexible,Safety Conscious,Insured,Risk Avoidant,Satisfied with Sub Performance,Sub Contributed to Success,Willing to Rehire Sub
1/29/2024 21:15:04,Private,Below C4,31-40,Male,Safety Officer,Bridge Construction,250Mn – 500Mn,12 Months – 24 Months,3,4,4,4,5,5,4,4,4,4,5,4,5,5,4,5,5,3,4,5,4
1/29/2024 23:47:50,Private,CS1,41-50,Female,Project Engineer,Infrastructure Development,250Mn – 500Mn,12 Months – 24 Months,1,5,5,1,4,5,4,4,5,4,4,5,5,5,3,4,5,4,4,5,4
1/30/2024 10:49:41,Private,CS2,51-60,Male,General Manager,Infrastructure Development,250Mn – 500Mn,6 Months – 12 Months,5,5,4,4,5,4,5,5,5,5,4,4,4,4,5,4,5,5,4,4,5
1/30/2024 11:35:31,Semi-Government,CS1,41-50,Male,Project Engineer,Bridge Construction,250Mn – 500Mn,24 Months – 60 Months,5,5,4,4,5,4,5,5,4,5,5,4,2,5,4,5,5,5,5,5,4
1/30/2024 12:55:20,Semi-Government,C1,51-60,Female,Project Manager,Infrastructure Development,500Mn – 1000Mn,24 Months – 60 Months,5,5,5,5,5,5,5,5,4,3,5,5,5,5,4,5,4,4,4,5,4
1/30/2024 22:15:35,Private,C1,41-50,Female,Project Director,Infrastructure Development,Below 250Mn,6 Months – 12 Months,5,5,5,4,4,5,4,5,3,5,4,5,1,5,5,4,5,1,4,4,5
1/30/2024 22:26:43,Government,CS2,31-40,Female,Safety Officer,Building Construction,250Mn – 500Mn,24 Months – 60 Months,5,4,4,5,4,4,2,5,4,4,4,5,5,4,5,1,4,1,5,5,4
1/31/2024 17:29:46,Government,C1,25-30,Male,Safety Officer,Building Construction,500Mn – 1000Mn,24 Months – 60 Months,3,5,4,4,5,4,4,5,4,4,4,4,5,5,5,5,5,1,5,4,4
1/31/2024 23:05:18,Government,C1,51-60,Male,Project Director,Infrastructure Development,Above 1000Mn,More than 60 Months,5,4,4,1,4,4,4,5,5,5,4,4,5,5,5,4,5,4,5,5,5
2/1/2024 22:21:43,Private,CS2,31-40,Male,Safety Officer,Highway Construction,250Mn – 500Mn,24 Months – 60 Months,1,5,5,5,3,5,4,4,4,5,1,5,5,4,4,5,4,3,4,2,5
